title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Transcriptomic insights into the epigenetic modulation of turnip mosaic virus evolution in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10798-x,2024,True,True,False,False,False,False
Extensive differential DNA methylation between tuberculosis skin test positive and skin test negative cattle,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10574-x,2024,True,True,True,False,False,False
DNA methylation patterns in patients with asthenospermia and oligoasthenospermia,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10491-z,2024,True,False,True,False,False,False
Global DNA methylation and telomere length as markers of accelerated aging in people living with HIV and non-alcoholic fatty liver disease,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09653-2,2023,True,True,False,False,False,False
Cis-meQTL for cocaine use-associated DNA methylation in an HIV-positive cohort show pleiotropic effects on multiple traits,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09661-2,2023,True,True,True,False,True,False
Epigenetic regulation of functional candidate genes for milk production traits in dairy sheep subjected to protein restriction in the prepubertal stage,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09611-y,2023,True,True,True,False,False,False
High-fat diet in early life triggers both reversible and persistent epigenetic changes in the medaka fish (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09557-1,2023,True,True,True,False,False,False
Identification and validation of a DNA methylation-driven gene-based prognostic model for clear cell renal cell carcinoma,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09416-z,2023,True,True,True,True,False,False
Maternal dietary methionine restriction alters hepatic expression of one-carbon metabolism and epigenetic mechanism genes in the ducklings,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09066-7,2022,True,True,False,True,False,False
Assessment of DNA methylation in porcine immune cells reveals novel regulatory elements associated with cell-specific gene expression and immune capacity traits,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08773-5,2022,True,True,True,False,False,False
Comprehensive analysis of RNA m6A methylation in pressure overload-induced cardiac hypertrophy,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08833-w,2022,True,False,True,False,False,False
Sperm DNA methylation patterns at discrete CpGs and genes involved in embryonic development are related to bull fertility,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08614-5,2022,True,True,True,False,False,False
DNA methylation changes in cord blood and the developmental origins of health and disease – a systematic review and replication study,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08451-6,2022,True,True,True,False,True,False
Changes in gene body methylation do not correlate with changes in gene expression in Anthozoa or Hexapoda,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08474-z,2022,True,True,True,False,False,False
Role of DNA methylation on the association between physical activity and cardiovascular diseases: results from the longitudinal multi-ethnic study of atherosclerosis (MESA) cohort,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08108-w,2021,True,False,True,True,False,False
Identification of DNA methylation-driven genes and construction of a nomogram to predict overall survival in pancreatic cancer,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08097-w,2021,True,True,True,False,False,False
Comparative methylation and RNA-seq expression analysis in CpG context to identify genes involved in Backfat vs. Liver diversification in Nanchukmacdon Pig,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08123-x,2021,True,True,True,False,False,False
Epigenetic interplay between methylation and miRNA in bladder cancer: focus on isoform expression,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08052-9,2021,True,True,True,False,True,False
"Accelerated hematopoietic mitotic aging measured by DNA methylation, blood cell lineage, and Parkinson’s disease",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08009-y,2021,True,True,False,False,False,False
DNA methylation-based sex classifier to predict sex and identify sex chromosome aneuploidy,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07675-2,2021,True,True,True,False,True,False
Characterizing the properties of bisulfite sequencing data: maximizing power and sensitivity to identify between-group differences in DNA methylation,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07721-z,2021,True,True,True,False,True,False
Temporal changes in DNA methylation and RNA expression in a small song bird: within- and between-tissue comparisons,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07329-9,2021,True,True,True,True,False,False
Detection of CRISPR-mediated genome modifications through altered methylation patterns of CpG islands,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07233-2,2020,True,True,False,False,True,False
Cytosine methylations in the promoter regions of genes involved in the cellular oxidation equilibrium pathways affect rice heat tolerance,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-06975-3,2020,True,False,True,False,False,False
DNA methylation and its effects on gene expression during primary to secondary growth in poplar stems,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-06902-6,2020,True,True,True,False,False,False
ICGEC: a comparative method for measuring epigenetic conservation of genes via the integrated signal from multiple histone modifications between cell types,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6771-1,2020,True,True,True,True,False,False
Epigenetic pacemaker: closed form algebraic solutions,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6606-0,2020,True,True,False,False,False,False
Genome-wide methylation and transcriptome of blood neutrophils reveal the roles of DNA methylation in affecting transcription of protein-coding genes and miRNAs in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6526-z,2020,True,False,False,False,False,False
"A comprehensive epigenomic analysis of phenotypically distinguishable, genetically identical female and male ",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-6415-5,2020,True,False,True,False,False,False
Identification of methylation states of DNA regions for Illumina methylation BeadChip,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-6019-0,2020,True,False,False,False,False,False
EpiMOLAS: an intuitive web-based framework for genome-wide DNA methylation analysis,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-6404-8,2020,True,False,False,False,False,False
Analysis of DNA methylation profiles during sheep skeletal muscle development using whole-genome bisulfite sequencing,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6751-5,2020,True,False,True,False,False,False
PretiMeth: precise prediction models for DNA methylation based on single methylation mark,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6768-9,2020,True,True,True,True,False,False
MethGET: web-based bioinformatics software for correlating genome-wide DNA methylation and gene expression,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6722-x,2020,True,True,False,True,False,False
Distinctions between sex and time in patterns of DNA methylation across puberty,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-06789-3,2020,True,True,True,True,False,False
LPS-treatment of bovine endometrial epithelial cells causes differential DNA methylation of genes associated with inflammation and endometrial function,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-06777-7,2020,True,False,False,False,False,False
Methylome and transcriptome profiles in three yak tissues revealed that DNA methylation and the transcription factor ZGPAT co-regulate milk production,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07151-3,2020,True,True,True,False,False,False
DNA methylation in infants with low and high body fatness,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07169-7,2020,True,True,True,False,False,False
"Identification, expression, and artificial selection of silkworm epigenetic modification enzymes",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07155-z,2020,True,False,False,False,False,False
Hepatic transcriptome and DNA methylation patterns following perinatal and chronic BPS exposure in male mice,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-07294-3,2020,True,True,True,False,False,False
The effect of DNA methylation on bumblebee colony development,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07371-1,2021,True,True,True,True,False,False
Family-effects in the epigenomic response of red blood cells to a challenge test in the European sea bass (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07420-9,2021,True,False,False,False,False,False
Elevated methylation of the vault RNA2-1 promoter in maternal blood is associated with preterm birth,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07865-y,2021,True,True,True,False,False,False
ARPEGGIO: Automated Reproducible Polyploid EpiGenetic GuIdance workflOw,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07845-2,2021,True,False,True,False,False,False
Genome-wide DNA methylation profile changes associated with shell colouration in the Yesso scallop (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08055-6,2021,True,True,True,False,False,False
Maternal methionine supplementation during gestation alters alternative splicing and DNA methylation in bovine skeletal muscle,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08065-4,2021,True,True,False,False,False,False
Comprehensive epigenomic profiling of human alveolar epithelial differentiation identifies key epigenetic states and transcription factor co-regulatory networks for maintenance of distal lung identity,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08152-6,2021,True,True,True,True,False,False
Multi-omics analyses of early liver injury reveals cell-type-specific transcriptional and epigenomic shift,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08173-1,2021,True,True,True,False,False,False
Comparative transcriptome and DNA methylation analysis in temperature-sensitive genic male sterile wheat BS366,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08163-3,2021,True,True,True,False,False,False
Epigenetic features improve TALE target prediction,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08210-z,2021,True,True,False,False,False,False
Developmental and Injury-induced Changes in DNA Methylation in Regenerative versus Non-regenerative Regions of the Vertebrate Central Nervous System,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08247-0,2022,True,True,True,False,False,False
Computational modeling of chromatin accessibility identified important epigenomic regulators,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-08234-5,2022,True,True,False,False,False,False
Ferroptosis-associated DNA methylation signature predicts overall survival in patients with head and neck squamous cell carcinoma,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08296-z,2022,True,True,False,False,False,False
"Mapping the m1A, m5C, m6A and m7G methylation atlas in zebrafish brain under hypoxic conditions by MeRIP-seq",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08350-w,2022,True,True,False,False,False,False
Micronutrient supplementation affects DNA methylation in male gonads with potential intergenerational epigenetic inheritance involving the embryonic development through glutamate receptor-associated genes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08348-4,2022,True,True,True,True,False,False
Multi-omics data integration reveals link between epigenetic modifications and gene expression in sugar beet (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08312-2,2022,True,True,True,False,True,False
miR-486-5p expression is regulated by DNA methylation in osteosarcoma,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08346-6,2022,True,True,False,False,False,False
Transcriptome-wide N6-methyladenine methylation in granulosa cells of women with decreased ovarian reserve,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08462-3,2022,True,True,False,False,False,False
Differential DNA methylation in Pacific oyster reproductive tissue in response to ocean acidification,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08781-5,2022,True,False,True,False,False,False
Comprehensive analysis of TCGA data reveals correlation between DNA methylation and alternative splicing,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08992-w,2022,True,True,True,True,True,False
Comprehensive analysis of pre-mRNA alternative splicing regulated by m6A methylation in pig oxidative and glycolytic skeletal muscles,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09043-0,2022,True,True,True,True,False,False
Comprehensive computational analysis of epigenetic descriptors affecting CRISPR-Cas9 off-target activity,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09012-7,2022,True,False,False,False,False,True
"Genome-wide differential DNA methylation analysis of MDA-MB-231 breast cancer cells treated with curcumin derivatives, ST08 and ST09",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09041-2,2022,True,False,False,False,False,False
Comparative epigenomics by machine learning approach for neuroblastoma,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09061-y,2022,True,True,True,False,False,False
Contribution of RdDM to the ecotype-specific differential methylation on conserved as well as highly variable regions between Arabidopsis ecotypes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09128-4,2023,True,True,True,False,False,False
Pan-cancer analysis revealed H3K4me1 at bivalent promoters premarks DNA hypermethylation during tumor development and identified the regulatory role of DNA methylation in relation to histone modifications,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09341-1,2023,True,True,False,True,False,False
Examining parent-of-origin effects on transcription and RNA methylation in mediating aggressive behavior in honey bees (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09411-4,2023,True,True,True,False,False,False
"Pest status, molecular evolution, and epigenetic factors derived from the genome assembly of ",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09375-5,2023,True,True,False,False,False,False
The landscape of PBMC methylome in canine mammary tumors reveals the epigenetic regulation of immune marker genes and its potential application in predicting tumor malignancy,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09471-6,2023,True,True,True,False,False,False
"Lineage-specific amplification and epigenetic regulation of LTR-retrotransposons contribute to the structure, evolution, and function of Fabaceae species",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09530-y,2023,True,True,False,False,False,False
High temperature influences DNA methylation and transcriptional profiles in sea urchins (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09616-7,2023,True,True,True,False,False,False
Comprehensive analysis of N6-methyladenosine-related RNA methylation in the mouse hippocampus after acquired hearing loss,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09697-4,2023,True,True,False,False,False,False
Mapping the epigenomic landscape of human monocytes following innate immune activation reveals context-specific mechanisms driving endotoxin tolerance,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09663-0,2023,True,True,True,False,False,True
Characterization of H3K9me3 and DNA methylation co-marked CpG-rich regions during mouse development,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09758-8,2023,True,False,False,False,False,False
DNA methylation on C5-Cytosine and N6-Adenine in the ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09783-7,2023,True,False,False,False,False,False
StableDNAm: towards a stable and efficient model for predicting DNA methylation based on adaptive feature correction learning,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09802-7,2023,True,True,False,False,False,False
Time series-based hybrid ensemble learning model with multivariate multidimensional feature coding for DNA methylation prediction,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09866-5,2023,True,False,False,False,False,False
Development and validation of epigenetic modification-related signals for the diagnosis and prognosis of colorectal cancer,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09815-2,2024,True,True,False,False,False,False
"Genome-wide profiling of histone (H3) lysine 4 (K4) tri-methylation (me3) under drought, heat, and combined stresses in switchgrass",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10068-w,2024,True,True,True,False,False,False
Chromatin accessibility and H3K9me3 landscapes reveal long-term epigenetic effects of fetal-neonatal iron deficiency in rat hippocampus,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10230-4,2024,True,True,True,False,False,False
