title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
SNUH methylation classifier for CNS tumors,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01824-0,2025,True,True,False,False,False,False
Clinical promise and applications of epigenetic biomarkers,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01806-8,2024,True,False,True,False,False,False
Epigenetic age acceleration and methylation differences in IgG4-related cholangitis and primary sclerosing cholangitis,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01803-x,2025,True,True,True,False,False,False
Unraveling the causal impact of smoking and its DNA methylation signatures on cardiovascular disease: Mendelian randomization and colocalization analysis,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01808-6,2025,True,False,True,False,True,False
A meta-analysis of epigenome-wide association studies of ultra-processed food consumption with DNA methylation in European children,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01782-z,2025,True,True,True,False,False,False
Epigenetic regulation and post-translational modifications of ferroptosis-related factors in cardiovascular diseases,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01809-5,2025,True,False,False,False,False,False
Associations of maternal night shift work during pregnancy with DNA methylation in offspring: a meta-analysis in the PACE consortium,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01810-y,2025,True,True,True,False,True,False
DNA methylation profiling at base-pair resolution reveals unique epigenetic features of early-onset colorectal cancer in underrepresented populations,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01817-z,2025,True,True,True,False,True,False
Longitudinal maternal glycemia during pregnancy and placental epigenetic age acceleration,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01825-z,2025,True,True,False,False,False,False
Age-related changes in DNA methylation in a sample of elderly Brazilians,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01821-3,2025,True,True,True,True,True,False
Vitrification affects the post-implantation development of mouse embryos by inducing DNA damage and epigenetic modifications,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01826-y,2025,True,True,True,False,False,False
Sex-specific role of epigenetic modification of a leptin upstream enhancer in adipose tissue,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01830-2,2025,True,True,True,False,False,False
Environmental exposures influence multigenerational epigenetic transmission,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01762-3,2024,True,False,False,False,False,False
The role of DNA methylation in chondrogenesis of human iPSCs as a stable marker of cartilage quality,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01759-y,2024,True,True,True,False,True,False
Influence of physical activity on the epigenetic clock: evidence from a Japanese cross-sectional study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01756-1,2024,True,True,True,False,True,False
A comprehensive lifestyle index and its associations with DNA methylation and type 2 diabetes among Ghanaian adults: the rodam study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01758-z,2024,True,True,True,False,False,False
COL25A1 and METAP1D DNA methylation are promising liquid biopsy epigenetic biomarkers of colorectal cancer using digital PCR,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01748-1,2024,True,True,False,False,False,False
Meeting abstracts of the clinical epigenetics international conference 2024,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01749-0,2024,True,True,True,True,True,False
DNA methylation at ,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01757-0,2024,True,True,True,False,False,False
Association analysis between an epigenetic alcohol risk score and blood pressure,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01753-4,2024,True,False,True,False,False,False
A multi-trait epigenome-wide association study identified DNA methylation signature of inflammation among men with HIV,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01763-2,2024,True,True,True,False,True,False
Epigenetic signatures of asthma: a comprehensive study of DNA methylation and clinical markers,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01765-0,2024,True,False,True,False,True,False
"DNA methylation biomarker panels for differentiating various liver adenocarcinomas, including hepatocellular carcinoma, cholangiocarcinoma, colorectal liver metastases and pancreatic adenocarcinoma liver metastases",https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01766-z,2024,True,False,False,False,False,False
Effects of walking on epigenetic age acceleration: a Mendelian randomization study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01707-w,2024,True,True,False,False,False,False
DNA methylation classifier to diagnose pancreatic ductal adenocarcinoma metastases from different anatomical sites,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01768-x,2024,True,True,True,False,True,False
The association between sleep quality and accelerated epigenetic aging with metabolic syndrome in Korean adults,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01706-x,2024,True,True,False,False,False,False
Unraveling epigenomic signatures and effectiveness of electroconvulsive therapy in treatment-resistant depression patients: a prospective longitudinal study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01704-z,2024,True,True,True,False,False,False
Quantification method of ctDNA using cell-free DNA methylation profile for noninvasive screening and monitoring of colon cancer,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01708-9,2024,True,True,True,False,False,False
Epigenetic and transcriptional control of adipocyte function by centenarian-associated SIRT6 N308K/A313S mutant,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01710-1,2024,True,True,False,False,False,False
DNA methylation and whole-genome transcription analysis in CD4,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01699-7,2024,True,True,True,False,False,False
