title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Publisher Correction: The ENCODE Imputation Challenge: a critical assessment of methods for cross-cell type imputation of epigenomic profiles,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-025-03494-w,2025,True,False,False,False,False,False
SETD2 loss-of-function uniquely sensitizes cells to epigenetic targeting of NSD1-directed H3K36 methylation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-025-03483-z,2025,True,True,False,False,False,False
Genome assembly of the maize B chromosome provides insight into its epigenetic characteristics and effects on the host genome,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-025-03517-6,2025,True,True,False,False,False,False
Improved simultaneous mapping of epigenetic features and 3D chromatin structure via ViCAR,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03377-6,2024,True,False,False,False,False,False
sciMET-cap: high-throughput single-cell methylation analysis with a reduced sequencing burden,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03306-7,2024,True,False,False,False,False,True
Author Correction: CelFiE-ISH: a probabilistic model for multi-cell type deconvolution from single-molecule DNA methylation haplotypes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03330-7,2024,True,False,False,False,False,False
Systemic interindividual DNA methylation variants in cattle share major hallmarks with those in humans,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03307-6,2024,True,True,True,False,False,False
Author Correction: DNA methylation remodeling and the functional implication during male gametogenesis in rice,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03344-1,2024,True,False,False,False,False,False
Author Correction: Epiphany: predicting Hi-C contact maps from 1D epigenomic signals,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03281-z,2024,True,False,False,False,False,False
DNA methylation patterns of transcription factor binding regions characterize their functional and evolutionary contexts,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03218-6,2024,True,True,True,False,True,False
DNA methylation remodeling and the functional implication during male gametogenesis in rice,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03222-w,2024,True,True,True,False,False,False
