title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Comprehensive analyses of 723 transcriptomes enhance genetic and biological interpretations for complex traits in cattle,https://genome.cshlp.org/content/30/5/790.full,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Quantitative prediction of enhancer–promoter interactions,https://genome.cshlp.org/content/30/1/72.full,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Heterodimerization of TFAP2 pioneer factors drives epigenomic remodeling during neural crest specification,https://genome.cshlp.org/content/30/1/35.full,2020,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
A comparison of gene expression and DNA methylation patterns across tissues and species,https://genome.cshlp.org/content/30/2/250.full,2020,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Genome-wide redistribution of 24-nt siRNAs in rice gametes,https://genome.cshlp.org/content/30/2/173.full,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
An integrative view of the regulatory and transcriptional landscapes in mouse hematopoiesis,https://genome.cshlp.org/content/30/3/472.full,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
RETrace: simultaneous retrospective lineage tracing and methylation profiling of single cells,https://genome.cshlp.org/content/30/4/602.full,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Detection and characterization of jagged ends of double-stranded DNA in plasma,https://genome.cshlp.org/content/30/8/1144.full,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Diploid genome architecture revealed by multi-omic data of hybrid mice,https://genome.cshlp.org/content/30/8/1097.full,2020,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Chromatin activation as a unifying principle underlying pathogenic mechanisms in multiple myeloma,https://genome.cshlp.org/content/30/9/1217.full,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Pan-cancer multi-omics analysis and orthogonal experimental assessment of epigenetic driver genes,https://genome.cshlp.org/content/30/10/1517.full,2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Distinct contributions of DNA methylation and histone acetylation to the genomic occupancy of transcription factors,https://genome.cshlp.org/content/30/10/1393.full,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
PRAM: a novel pooling approach for discovering intergenic transcripts from large-scale RNA sequencing experiments,https://genome.cshlp.org/content/30/11/1655.full,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"An optogenetic switch for the Set2 methyltransferase provides evidence for transcription-dependent and -independent dynamics
                  of H3K36 methylation",https://genome.cshlp.org/content/30/11/1605.full,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Large tandem duplications affect gene expression, 3D organization, and plant–pathogen response",https://genome.cshlp.org/content/30/11/1583.full,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Transcriptional activity and epigenetic regulation of transposable elements in the symbiotic fungus  Rhizophagus irregularis,https://genome.cshlp.org/content/31/12/2290.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Evolutionary rewiring of the wheat transcriptional regulatory network by lineage-specific transposable elements,https://genome.cshlp.org/content/31/12/2276.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
A systematic analysis of  Trypanosoma brucei  chromatin factors identifies novel protein interaction networks associated with sites of transcription initiation and termination,https://genome.cshlp.org/content/31/11/2138.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Genome-wide prediction of DNA mutation effect on nucleosome positions for yeast synthetic genomics,https://genome.cshlp.org/content/31/2/317.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nondestructive enzymatic deamination enables single-molecule long-read amplicon sequencing for the determination of 5-methylcytosine
                  and 5-hydroxymethylcytosine at single-base resolution",https://genome.cshlp.org/content/31/2/291.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Epigenomic differences in the human and chimpanzee genomes are associated with structural variation,https://genome.cshlp.org/content/31/2/279.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Predictive modeling of single-cell DNA methylome data enhances integration with transcriptome data,https://genome.cshlp.org/content/31/1/101.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
KDM1A maintains genome-wide homeostasis of transcriptional enhancers,https://genome.cshlp.org/content/31/2/186.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Orc4 spatiotemporally stabilizes centromeric chromatin,https://genome.cshlp.org/content/31/4/607.full,2021,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"ZNF91  deletion in human embryonic stem cells leads to ectopic activation of SVA retrotransposons and up-regulation of KRAB zinc
                  finger gene clusters",https://genome.cshlp.org/content/31/4/551.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
A plug and play microfluidic platform for standardized sensitive low-input chromatin immunoprecipitation,https://genome.cshlp.org/content/31/5/919.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
DNA methylation epitypes highlight underlying developmental and disease pathways in acute myeloid leukemia,https://genome.cshlp.org/content/31/5/747.full,2021,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Positive selective sweeps of epigenetic mutations regulating specialized metabolites in plants,https://genome.cshlp.org/content/31/6/1060.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Enzymatic methyl sequencing detects DNA methylation at single-base resolution from picograms of DNA,https://genome.cshlp.org/content/31/7/1280.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Conserved noncoding sequences provide insights into regulatory sequence and loss of gene expression in maize,https://genome.cshlp.org/content/31/7/1245.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Polycomb-dependent differential chromatin compartmentalization determines gene coregulation in  Arabidopsis,https://genome.cshlp.org/content/31/7/1230.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"The loss of heterochromatin is associated with multiscale three-dimensional genome reorganization and aberrant transcription
                  during cellular senescence",https://genome.cshlp.org/content/31/7/1121.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Hydroxycarbamide effects on DNA methylation and gene expression in myeloproliferative neoplasms,https://genome.cshlp.org/content/31/8/1381.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ligand-induced native G-quadruplex stabilization impairs transcription initiation,https://genome.cshlp.org/content/31/9/1546.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Parental methylome reprogramming in human uniparental blastocysts reveals germline memory transition,https://genome.cshlp.org/content/31/9/1519.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Iterative epigenomic analyses in the same single cell,https://genome.cshlp.org/content/31/10/1819.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cancer cell states and emergent properties of the dynamic tumor system,https://genome.cshlp.org/content/31/10/1719.full,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nuclease deficiencies alter plasma cell-free DNA methylation profiles,https://genome.cshlp.org/content/31/11/2008.full,2021,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
The human ribosomal DNA array is composed of highly homogenized tandem clusters,https://genome.cshlp.org/content/31/11/1971.full,2021,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Decoding the function of bivalent chromatin in development and cancer,https://genome.cshlp.org/content/31/12/2170.full,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Epigenomic analysis reveals prevalent contribution of transposable elements to  cis -regulatory elements, tissue-specific expression, and alternative promoters in zebrafish",https://genome.cshlp.org/content/32/7/1424.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"RefSeq Functional Elements as experimentally assayed nongenic reference standards and functional interactions in human and
                  mouse",https://genome.cshlp.org/content/32/1/175.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Profiling chromatin accessibility in formalin-fixed paraffin-embedded samples,https://genome.cshlp.org/content/32/1/150.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Integration of high-resolution promoter profiling assays reveals novel, cell type–specific transcription start sites across
                  115 human cell and tissue types",https://genome.cshlp.org/content/32/2/389.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Accessible Region Conformation Capture (ARC-C) gives high-resolution insights into genome architecture and regulation,https://genome.cshlp.org/content/32/2/357.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"The asymmetric distribution of RNA polymerase II and nucleosomes on replicated daughter genomes is caused by differences in
                  replication timing between the lagging and the leading strand",https://genome.cshlp.org/content/32/2/337.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resetting of the 24-nt siRNA landscape in rice zygotes,https://genome.cshlp.org/content/32/2/309.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Gene by environment interaction mouse model reveals a functional role for 5-hydroxymethylcytosine in neurodevelopmental disorders,https://genome.cshlp.org/content/32/2/266.full,2022,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Broad domains of histone marks in the highly compact  Paramecium  macronuclear genome,https://genome.cshlp.org/content/32/4/710.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Accumulation and ineffective silencing of transposable elements on an avian W Chromosome,https://genome.cshlp.org/content/32/4/671.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
The genetics and epigenetics of satellite centromeres,https://genome.cshlp.org/content/32/4/608.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Chromatin interaction–aware gene regulatory modeling with graph attention networks,https://genome.cshlp.org/content/32/5/930.full,2022,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Genome-wide promoter assembly in  E. coli  measured at single-base resolution,https://genome.cshlp.org/content/32/5/878.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"H3K36 dimethylation shapes the epigenetic interaction landscape by directing repressive chromatin modifications in embryonic
                  stem cells",https://genome.cshlp.org/content/32/5/825.full,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Genetic, epigenetic, and environmental mechanisms govern allele-specific gene expression",https://genome.cshlp.org/content/32/6/1042.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Dynamic regulatory module networks for inference of cell type–specific transcriptional networks,https://genome.cshlp.org/content/32/7/1367.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Epigenomic translocation of H3K4me3 broad domains over oncogenes following hijacking of super-enhancers,https://genome.cshlp.org/content/32/7/1343.full,2022,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Dynamics of broad H3K4me3 domains uncover an epigenetic switch between cell identity and cancer-related genes,https://genome.cshlp.org/content/32/7/1328.full,2022,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
dbEmbryo multi-omics database for analyses of synergistic regulation in early mammalian embryo development,https://genome.cshlp.org/content/32/8/1612.full,2022,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Coordination of zygotic genome activation entry and exit by H3K4me3 and H3K27me3 in porcine early embryos,https://genome.cshlp.org/content/32/8/1487.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Ruminant-specific retrotransposons shape regulatory evolution of bovine immunity,https://genome.cshlp.org/content/32/8/1474.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Identification of a transcriptional signature found in multiple models of ASD and related disorders,https://genome.cshlp.org/content/32/9/1642.full,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
