title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
MLL1 is regulated by KSHV LANA and is important for virus latency,https://academic.oup.com/nar/article/49/22/12895/6438035,2021,True,False,False,False,False,False
Cytosine base modifications regulate DNA duplex stability and metabolism,https://academic.oup.com/nar/article/49/22/12870/6300639,2021,True,False,False,False,False,False
Single-molecule mitochondrial DNA sequencing shows no evidence of CpG methylation in human cells and tissues,https://academic.oup.com/nar/article/49/22/12757/6445962,2021,True,False,False,False,False,False
Inhibitor of growth protein 3 epigenetically silences endogenous retroviral elements and prevents innate immune activation,https://academic.oup.com/nar/article/49/22/12706/6430487,2021,True,False,False,False,False,False
DNA methylation variation along the cancer epigenome and the identification of novel epigenetic driver events,https://academic.oup.com/nar/article/49/22/12692/6454280,2021,True,True,True,False,False,False
Generation of onco-enhancer enhances chromosomal remodeling and accelerates tumorigenesis,https://academic.oup.com/nar/article/48/21/12135/5983629,2020,True,False,False,False,False,False
4-Methylcytosine DNA modification is critical for global epigenetic regulation and virulence in the human pathogen,https://academic.oup.com/nar/article/48/21/12102/5958492,2020,True,True,False,False,False,False
A role for LSH in facilitating DNA methylation by DNMT1 through enhancing UHRF1 chromatin association,https://academic.oup.com/nar/article/48/21/12116/5973463,2020,True,False,False,False,False,False
Histone sumoylation promotes Set3 histone-deacetylase complex-mediated transcriptional regulation,https://academic.oup.com/nar/article/48/21/12151/5999897,2020,True,False,False,False,False,False
PML nuclear bodies and chromatin dynamics: catch me if you can!,https://academic.oup.com/nar/article/48/21/11890/5929229,2020,True,False,False,False,False,False
Contribution of DNA adenine methylation to gene expression heterogeneity in,https://academic.oup.com/nar/article/48/21/11857/5908533,2020,True,False,False,False,False,False
Shortcut barcoding and early pooling for scalable multiplex single-cell reduced-representation CpG methylation sequencing at single nucleotide resolution,https://academic.oup.com/nar/article/51/21/e108/7327074,2023,True,False,False,False,False,False
DNA elements tether canonical Polycomb Repressive Complex 1 to human genes,https://academic.oup.com/nar/article/51/21/11613/7321990,2023,True,False,False,False,False,False
The N-terminus of Spt16 anchors FACT to MCM2–7 for parental histone recycling,https://academic.oup.com/nar/article/51/21/11549/7321068,2023,True,False,False,False,False,False
