title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Reconstitution of the oocyte transcriptional network with transcription factors,https://www.nature.com/articles/s41586-020-3027-9,2020,True,False,True,False,False,False
Reprogramming to recover youthful epigenetic information and restore vision,https://www.nature.com/articles/s41586-020-2975-4,2020,True,True,True,False,True,False
Metallaphotoredox aryl and alkyl radiomethylation for PET ligand discovery,https://www.nature.com/articles/s41586-020-3015-0,2020,True,False,False,False,False,False
Read–write mechanisms of H2A ubiquitination by Polycomb repressive complex 1,https://www.nature.com/articles/s41586-024-08183-5,2024,True,False,False,False,False,False
Genome-coverage single-cell histone modifications for embryo lineage tracing,https://www.nature.com/articles/s41586-025-08656-1,2025,True,True,False,False,False,False
 blood stage development requires the chromatin remodeller Snf2L,https://www.nature.com/articles/s41586-025-08595-x,2025,True,True,True,False,False,False
Cancer SLC43A2 alters T cell methionine metabolism and histone methylation,https://www.nature.com/articles/s41586-020-2682-1,2020,True,True,False,False,False,False
Fine-tuning gibberellin improves rice alkali–thermal tolerance and yield,https://www.nature.com/articles/s41586-024-08486-7,2025,True,True,False,False,False,False
Targeting FOXM1 condensates reduces breast tumour growth and metastasis,https://www.nature.com/articles/s41586-024-08421-w,2025,True,True,False,False,False,False
A rare PRIMER cell state in plant immunity,https://www.nature.com/articles/s41586-024-08383-z,2025,True,True,True,False,False,False
Bidirectional histone monoaminylation dynamics regulate neural rhythmicity,https://www.nature.com/articles/s41586-024-08371-3,2025,True,True,True,False,False,False
Precursors of exhausted T cells are pre-emptively formed in acute infection,https://www.nature.com/articles/s41586-024-08451-4,2025,True,True,True,False,False,False
The changing mouse embryo transcriptome at whole tissue and single-cell resolution,https://www.nature.com/articles/s41586-020-2536-x,2020,True,True,False,False,False,False
-methyladenine in DNA antagonizes SATB1 in early development,https://www.nature.com/articles/s41586-020-2500-9,2020,True,True,True,False,False,False
SPOCD1 is an essential executor of piRNA-directed de novo DNA methylation,https://www.nature.com/articles/s41586-020-2557-5,2020,True,True,True,False,True,False
Epigenetic regulator function through mouse gastrulation,https://www.nature.com/articles/s41586-020-2552-x,2020,True,True,True,False,False,False
Telomere-to-telomere assembly of a complete human X chromosome,https://www.nature.com/articles/s41586-020-2547-7,2020,True,False,False,False,False,False
Structural cells are key regulators of organ-specific immune responses,https://www.nature.com/articles/s41586-020-2424-4,2020,True,True,True,False,False,False
poly(UG)-tailed RNAs in genome protection and epigenetic inheritance,https://www.nature.com/articles/s41586-020-2323-8,2020,True,False,False,False,False,False
Plant 22-nt siRNAs mediate translational repression and stress adaptation,https://www.nature.com/articles/s41586-020-2231-y,2020,True,False,True,False,False,True
Mouse models of neutropenia reveal progenitor-stage-specific defects,https://www.nature.com/articles/s41586-020-2227-7,2020,True,False,True,False,False,False
A genomic and epigenomic atlas of prostate cancer in Asian populations,https://www.nature.com/articles/s41586-020-2135-x,2020,True,True,True,False,False,False
Parental-to-embryo switch of chromosome organization in early embryogenesis,https://www.nature.com/articles/s41586-020-2125-z,2020,True,True,False,False,False,False
Late-stage oxidative C(,https://www.nature.com/articles/s41586-020-2137-8,2020,True,False,False,False,False,False
Epigenetic therapy inhibits metastases by disrupting premetastatic niches,https://www.nature.com/articles/s41586-020-2054-x,2020,True,True,True,False,False,False
Two conserved epigenetic regulators prevent healthy ageing,https://www.nature.com/articles/s41586-020-2037-y,2020,True,True,True,False,False,False
MAFG-driven astrocytes promote CNS inflammation,https://www.nature.com/articles/s41586-020-1999-0,2020,True,True,True,False,False,False
SPEN integrates transcriptional and epigenetic control of X-inactivation,https://www.nature.com/articles/s41586-020-1974-9,2020,True,True,True,False,False,False
Zucchini consensus motifs determine the mechanism of pre-piRNA production,https://www.nature.com/articles/s41586-020-1966-9,2020,True,True,False,False,True,False
Selective inhibition of the BD2 bromodomain of BET proteins in prostate cancer,https://www.nature.com/articles/s41586-020-1930-8,2020,True,True,False,False,False,False
Monoallelic expression can govern penetrance of inborn errors of immunity,https://www.nature.com/articles/s41586-024-08346-4,2025,True,True,True,True,False,False
Spatiotemporal DNA methylome dynamics of the developing mouse fetus,https://www.nature.com/articles/s41586-020-2119-x,2020,True,True,True,False,False,False
Expanded encyclopaedias of DNA elements in the human and mouse genomes,https://www.nature.com/articles/s41586-020-2493-4,2020,True,True,True,False,False,False
Microbiota-derived metabolite promotes HDAC3 activity in the gut,https://www.nature.com/articles/s41586-020-2604-2,2020,True,True,True,False,False,False
The maternal X chromosome affects cognition and brain ageing in female mice,https://www.nature.com/articles/s41586-024-08457-y,2025,True,True,True,False,True,False
Epigenetic gene silencing by heterochromatin primes fungal resistance,https://www.nature.com/articles/s41586-020-2706-x,2020,True,True,False,False,False,False
Adaptable haemodynamic endothelial cells for organogenesis and tumorigenesis,https://www.nature.com/articles/s41586-020-2712-z,2020,True,True,True,False,False,False
Structure of nucleosome-bound DNA methyltransferases DNMT3A and DNMT3B,https://www.nature.com/articles/s41586-020-2747-1,2020,True,True,False,False,False,False
Evolutionary fingerprints of epithelial-to-mesenchymal transition,https://www.nature.com/articles/s41586-025-08671-2,2025,True,True,True,False,False,False
Cell-type-specific 3D epigenomes in the developing human cortex,https://www.nature.com/articles/s41586-020-2825-4,2020,True,True,True,False,False,False
Parallel molecular data storage by printing epigenetic bits on DNA,https://www.nature.com/articles/s41586-024-08040-5,2024,True,False,False,False,False,False
Temporally distinct 3D multi-omic dynamics in the developing human brain,https://www.nature.com/articles/s41586-024-08030-7,2024,True,True,True,False,False,False
AKT and EZH2 inhibitors kill TNBCs by hijacking mechanisms of involution,https://www.nature.com/articles/s41586-024-08031-6,2024,True,True,True,False,False,False
Two-factor authentication underpins the precision of the piRNA pathway,https://www.nature.com/articles/s41586-024-07963-3,2024,True,True,True,False,True,False
Single-cell CAR T atlas reveals type 2 function in 8-year leukaemia remission,https://www.nature.com/articles/s41586-024-07762-w,2024,True,True,False,False,False,False
DNA methylation controls stemness of astrocytes in health and ischaemia,https://www.nature.com/articles/s41586-024-07898-9,2024,True,True,True,False,False,False
The genomic basis of childhood T-lineage acute lymphoblastic leukaemia,https://www.nature.com/articles/s41586-024-07807-0,2024,True,True,True,False,False,False
Histone serotonylation regulates ependymoma tumorigenesis,https://www.nature.com/articles/s41586-024-07751-z,2024,True,True,False,False,False,False
SMYD5 methylation of rpL40 links ribosomal output to gastric cancer,https://www.nature.com/articles/s41586-024-07718-0,2024,True,True,True,False,False,False
Sources of gene expression variation in a globally diverse human cohort,https://www.nature.com/articles/s41586-024-07708-2,2024,True,True,True,False,True,False
Interferon subverts an AHR–JUN axis to promote CXCL13,https://www.nature.com/articles/s41586-024-07627-2,2024,True,True,True,True,True,False
Targeting pericentric non-consecutive motifs for heterochromatin initiation,https://www.nature.com/articles/s41586-024-07640-5,2024,True,True,True,False,False,False
Single-cell and spatial atlases of spinal cord injury in the ,https://www.nature.com/articles/s41586-024-07504-y,2024,True,True,True,False,False,False
The Space Omics and Medical Atlas (SOMA) and international astronaut biobank,https://www.nature.com/articles/s41586-024-07639-y,2024,True,True,True,False,False,False
Epigenetic inheritance of diet-induced and sperm-borne mitochondrial RNAs,https://www.nature.com/articles/s41586-024-07472-3,2024,True,True,True,False,False,False
In vitro reconstitution of epigenetic reprogramming in the human germ line,https://www.nature.com/articles/s41586-024-07526-6,2024,True,True,True,False,True,False
Structural mechanism of angiogenin activation by the ribosome,https://www.nature.com/articles/s41586-024-07508-8,2024,True,False,False,False,False,False
Mapping genotypes to chromatin accessibility profiles in single cells,https://www.nature.com/articles/s41586-024-07388-y,2024,True,True,True,False,True,False
Structural and molecular basis of choline uptake into the brain by FLVCR2,https://www.nature.com/articles/s41586-024-07326-y,2024,True,True,False,False,True,False
Transient loss of Polycomb components induces an epigenetic cancer fate,https://www.nature.com/articles/s41586-024-07328-w,2024,True,True,True,False,False,False
Multimodal cell atlas of the ageing human skeletal muscle,https://www.nature.com/articles/s41586-024-07348-6,2024,True,False,False,False,False,False
 underlies the development and evolution of marsupial gliding membranes,https://www.nature.com/articles/s41586-024-07305-3,2024,True,True,True,False,False,False
The variation and evolution of complete human centromeres,https://www.nature.com/articles/s41586-024-07278-3,2024,True,False,False,False,False,False
Disease-associated astrocyte epigenetic memory promotes CNS pathology,https://www.nature.com/articles/s41586-024-07187-5,2024,True,True,True,False,False,False
Epigenetic therapy induces transcription of inverted SINEs and ADAR1 dependency,https://www.nature.com/articles/s41586-020-2844-1,2020,True,True,True,False,False,False
Selfish conflict underlies RNA-mediated parent-of-origin effects,https://www.nature.com/articles/s41586-024-07155-z,2024,True,True,False,False,False,False
Parental histone transfer caught at the replication fork,https://www.nature.com/articles/s41586-024-07152-2,2024,True,True,False,False,False,False
Durable and efficient gene silencing in vivo by hit-and-run epigenome editing,https://www.nature.com/articles/s41586-024-07087-8,2024,True,True,True,False,False,False
Mechanisms of action and resistance in histone methylation-targeted therapy,https://www.nature.com/articles/s41586-024-07103-x,2024,True,True,True,False,False,False
Smoking changes adaptive immunity with persistent effects,https://www.nature.com/articles/s41586-023-06968-8,2024,True,True,True,False,False,False
Genetic drivers of heterogeneity in type 2 diabetes pathophysiology,https://www.nature.com/articles/s41586-024-07019-6,2024,True,True,False,False,True,False
An epigenetic barrier sets the timing of human neuronal maturation,https://www.nature.com/articles/s41586-023-06984-8,2024,True,True,True,False,False,False
Convergence of coronary artery disease genes onto endothelial cell programs,https://www.nature.com/articles/s41586-024-07022-x,2024,True,True,True,False,False,False
Single-cell mutation analysis of clonal evolution in myeloid malignancies,https://www.nature.com/articles/s41586-020-2864-x,2020,True,False,True,False,False,False
The landscape of RNA Pol II binding reveals a stepwise transition during ZGA,https://www.nature.com/articles/s41586-020-2847-y,2020,True,False,False,False,False,False
Site-specific RNA methylation by a methyltransferase ribozyme,https://www.nature.com/articles/s41586-020-2854-z,2020,True,False,False,False,False,False
Coordinated inheritance of extrachromosomal DNAs in cancer cells,https://www.nature.com/articles/s41586-024-07861-8,2024,True,True,False,False,False,False
Adipose tissue retains an epigenetic memory of obesity after weight loss,https://www.nature.com/articles/s41586-024-08165-7,2024,True,True,True,False,True,False
A multi-omic atlas of human embryonic skeletal development,https://www.nature.com/articles/s41586-024-08189-z,2024,True,True,True,True,False,False
A map of ,https://www.nature.com/articles/s41586-020-2962-9,2020,True,True,True,False,False,False
Interleukin-15-armoured GPC3 CAR T cells for patients with solid cancers,https://www.nature.com/articles/s41586-024-08261-8,2024,True,True,True,False,False,False
Ageing limits stemness and tumorigenesis by reprogramming iron homeostasis,https://www.nature.com/articles/s41586-024-08285-0,2024,True,True,True,False,False,False
MSL2 ensures biallelic gene expression in mammals,https://www.nature.com/articles/s41586-023-06781-3,2023,True,True,True,False,False,False
The social and structural architecture of the yeast protein interactome,https://www.nature.com/articles/s41586-023-06739-5,2023,True,False,True,False,False,False
Single-cell CRISPR screens in vivo map T cell fate regulomes in cancer,https://www.nature.com/articles/s41586-023-06733-x,2023,True,True,True,False,False,False
Epigenetic regulation during cancer transitions across 11 tumour types,https://www.nature.com/articles/s41586-023-06682-5,2023,True,True,True,False,True,False
Ultra-fast deep-learned CNS tumour classification during surgery,https://www.nature.com/articles/s41586-023-06615-2,2023,True,False,False,False,False,False
Inhibition of fatty acid oxidation enables heart regeneration in adult mice,https://www.nature.com/articles/s41586-023-06585-5,2023,True,True,True,False,False,False
Acetyl-methyllysine marks chromatin at active transcription start sites,https://www.nature.com/articles/s41586-023-06565-9,2023,True,True,True,False,False,False
H1 histones control the epigenetic landscape by local chromatin compaction,https://www.nature.com/articles/s41586-020-3032-z,2020,True,True,True,False,False,False
Transient naive reprogramming corrects hiPS cells functionally and epigenetically,https://www.nature.com/articles/s41586-023-06424-7,2023,True,False,True,False,False,False
Rewiring cancer drivers to activate apoptosis,https://www.nature.com/articles/s41586-023-06348-2,2023,True,True,True,False,False,False
Diverse modes of H3K36me3-guided nucleosomal deacetylation by Rpd3S,https://www.nature.com/articles/s41586-023-06349-1,2023,True,False,False,False,False,False
Evolutionary histories of breast cancer and related clones,https://www.nature.com/articles/s41586-023-06333-9,2023,True,True,True,False,False,False
RNA polymerase II associates with active genes during DNA replication,https://www.nature.com/articles/s41586-023-06341-9,2023,True,True,False,False,False,False
