title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Epithelial SIRT6 governs IL-17A pathogenicity and drives allergic airway inflammation and remodeling,https://www.nature.com/articles/s41467-023-44179-x,2023,True,True,False,False,False,False
Epigenetic loss of heterogeneity from low to high grade localized prostate tumours,https://www.nature.com/articles/s41467-021-27615-8,2021,True,False,True,False,False,False
The ,https://www.nature.com/articles/s41467-023-43940-6,2023,True,False,False,False,False,False
Dynamic regulation of N,https://www.nature.com/articles/s41467-021-27421-2,2021,True,True,True,False,False,False
Meta-analyses identify DNA methylation associated with kidney function and damage,https://www.nature.com/articles/s41467-021-27234-3,2021,True,True,True,True,True,False
Epigenome-wide association study of serum urate reveals insights into urate co-regulation and the ,https://www.nature.com/articles/s41467-021-27198-4,2021,True,True,True,False,False,False
Repression of germline genes by PRC1.6 and SETDB1 in the early embryo precedes DNA methylation-mediated silencing,https://www.nature.com/articles/s41467-021-27345-x,2021,True,True,True,False,False,False
Heterochromatin is a quantitative trait associated with spontaneous epiallele formation,https://www.nature.com/articles/s41467-021-27320-6,2021,True,True,True,False,False,False
Compressive stress-mediated p38 activation required for ERα + phenotype in breast cancer,https://www.nature.com/articles/s41467-021-27220-9,2021,True,True,True,False,False,False
Fat mass and obesity-associated protein regulates RNA methylation associated with depression-like behavior in mice,https://www.nature.com/articles/s41467-021-27044-7,2021,True,True,True,False,False,False
Hematopoiesis under telomere attrition at the single-cell resolution,https://www.nature.com/articles/s41467-021-27206-7,2021,True,True,True,False,False,False
Imprinted lncRNA Dio3os preprograms intergenerational brown fat development and obesity resistance,https://www.nature.com/articles/s41467-021-27171-1,2021,True,True,False,False,True,False
Epigenetic interaction between UTX and DNMT1 regulates diet-induced myogenic remodeling in brown fat,https://www.nature.com/articles/s41467-021-27141-7,2021,True,True,True,False,False,False
Combination of epigenetic regulation with gene therapy-mediated immune checkpoint blockade induces anti-tumour effects and immune response in vivo,https://www.nature.com/articles/s41467-021-27078-x,2021,True,False,False,False,False,False
ABHD5 inhibits YAP-induced c-Met overexpression and colon cancer cell stemness via suppressing YAP methylation,https://www.nature.com/articles/s41467-021-26967-5,2021,True,True,True,False,False,False
Identifying regulators of parental imprinting by CRISPR/Cas9 screening in haploid human embryonic stem cells,https://www.nature.com/articles/s41467-021-26949-7,2021,True,False,True,False,False,False
"DHX15-independent roles for TFIP11 in U6 snRNA modification, U4/U6.U5 tri-snRNP assembly and pre-mRNA splicing fidelity",https://www.nature.com/articles/s41467-021-26932-2,2021,True,True,False,False,True,False
Structural basis of the regulation of the normal and oncogenic methylation of nucleosomal histone H3 Lys36 by NSD2,https://www.nature.com/articles/s41467-021-26913-5,2021,True,True,False,False,False,False
ZMYND8 mediated liquid condensates spatiotemporally decommission the latent super-enhancers during macrophage polarization,https://www.nature.com/articles/s41467-021-26864-x,2021,True,True,True,False,False,False
Epigenetic reprogramming of airway macrophages promotes polarization and inflammation in muco-obstructive lung disease,https://www.nature.com/articles/s41467-021-26777-9,2021,True,True,True,False,True,False
Introns control stochastic allele expression bias,https://www.nature.com/articles/s41467-021-26798-4,2021,True,True,True,False,False,False
The origin and impeded dissemination of the DNA phosphorothioation system in prokaryotes,https://www.nature.com/articles/s41467-021-26636-7,2021,True,True,True,False,False,False
HNF4A defines tissue-specific circadian rhythms by beaconing BMAL1::CLOCK chromatin binding and shaping the rhythmic chromatin landscape,https://www.nature.com/articles/s41467-021-26567-3,2021,True,True,True,False,False,False
Genome-wide profiling in colorectal cancer identifies PHF19 and TBC1D16 as oncogenic super enhancers,https://www.nature.com/articles/s41467-021-26600-5,2021,True,True,False,True,True,False
-methyladenosine methylation in tRNA drives liver tumourigenesis by regulating cholesterol metabolism,https://www.nature.com/articles/s41467-021-26718-6,2021,True,True,True,False,True,False
Arginine methylation and ubiquitylation crosstalk controls DNA end-resection and homologous recombination repair,https://www.nature.com/articles/s41467-021-26413-6,2021,True,True,True,False,False,False
Nuclear S-nitrosylation impacts tissue regeneration in zebrafish,https://www.nature.com/articles/s41467-021-26621-0,2021,True,True,True,False,True,False
Multi-omics analysis identifies therapeutic vulnerabilities in triple-negative breast cancer subtypes,https://www.nature.com/articles/s41467-021-26502-6,2021,True,True,True,True,False,False
Genome-wide association study identifies susceptibility loci for acute myeloid leukemia,https://www.nature.com/articles/s41467-021-26551-x,2021,True,True,True,True,False,False
Histone H4 lysine 16 acetylation controls central carbon metabolism and diet-induced obesity in mice,https://www.nature.com/articles/s41467-021-26277-w,2021,True,True,True,False,False,False
rRNA biogenesis regulates mouse 2C-like state by 3D structure reorganization of peri-nucleolar heterochromatin,https://www.nature.com/articles/s41467-021-26576-2,2021,True,True,False,False,False,False
Comparative epigenetic analysis of tumour initiating cells and syngeneic EPSC-derived neural stem cells in glioblastoma,https://www.nature.com/articles/s41467-021-26297-6,2021,True,True,True,True,False,False
 mutations are associated with hypermethylation at key regulatory enhancers in normal and malignant hematopoiesis,https://www.nature.com/articles/s41467-021-26093-2,2021,True,True,True,False,True,False
Morc3 silences endogenous retroviruses by enabling Daxx-mediated histone H3.3 incorporation,https://www.nature.com/articles/s41467-021-26288-7,2021,True,True,True,False,False,False
Cancer gene mutation frequencies for the U.S. population,https://www.nature.com/articles/s41467-021-26213-y,2021,True,False,False,False,False,False
Genome-wide detection of cytosine methylations in plant from Nanopore data using deep learning,https://www.nature.com/articles/s41467-021-26278-9,2021,True,False,False,False,False,False
High-spatial and colourimetric imaging of histone modifications in single senescent cells using plasmonic nanoprobes,https://www.nature.com/articles/s41467-021-26224-9,2021,True,False,False,False,False,False
