title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Author Correction: An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease,https://www.nature.com/articles/s41588-020-00733-7,2020,True,False,False,False,False,False
The genome and GeneBank genomics of allotetraploid ,https://www.nature.com/articles/s41588-025-02126-0,2025,True,True,True,False,True,False
Single-cell analysis of clonal maintenance of transcriptional and epigenetic states in cancer cells,https://www.nature.com/articles/s41588-020-0645-y,2020,True,False,True,False,False,False
Integrative proteogenomic analysis identifies COL6A3-derived endotrophin as a mediator of the effect of obesity on coronary artery disease,https://www.nature.com/articles/s41588-024-02052-7,2025,True,True,False,False,True,False
"Synchronized long-read genome, methylome, epigenome and transcriptome profiling resolve a Mendelian condition",https://www.nature.com/articles/s41588-024-02067-0,2025,True,True,True,False,True,False
Profiling the epigenome using long-read sequencing,https://www.nature.com/articles/s41588-024-02038-5,2025,True,True,False,False,False,False
 is a context-dependent medulloblastoma driver in the rhombic lip,https://www.nature.com/articles/s41588-024-02014-z,2025,True,True,True,False,False,False
Genomic diversifications of five ,https://www.nature.com/articles/s41588-020-0614-5,2020,True,True,True,False,True,False
DNA methylation disruption reshapes the hematopoietic differentiation landscape,https://www.nature.com/articles/s41588-020-0595-4,2020,True,True,True,True,True,False
Three-dimensional chromatin landscapes in T cell acute lymphoblastic leukemia,https://www.nature.com/articles/s41588-020-0602-9,2020,True,True,True,False,False,False
Systematic identification of silencers in human cells,https://www.nature.com/articles/s41588-020-0578-5,2020,True,False,True,False,False,False
"Uncoupling histone H3K4 trimethylation from developmental gene expression via an equilibrium of COMPASS, Polycomb and DNA methylation",https://www.nature.com/articles/s41588-020-0618-1,2020,True,True,True,False,False,False
TETs compete with DNMT3 activity in pluripotent cells at thousands of methylated somatic enhancers,https://www.nature.com/articles/s41588-020-0639-9,2020,True,True,True,False,True,False
Characterizing the ecological and evolutionary dynamics of cancer,https://www.nature.com/articles/s41588-020-0668-4,2020,True,False,False,False,False,False
Imprecise DNMT1 activity coupled with neighbor-guided correction enables robust yet flexible epigenetic inheritance,https://www.nature.com/articles/s41588-020-0661-y,2020,True,False,True,False,False,False
The DNA methylation landscape of advanced prostate cancer,https://www.nature.com/articles/s41588-020-0648-8,2020,True,True,True,False,False,False
Cross-species chromatin interactions drive transcriptional rewiring in Epstein–Barr virus–positive gastric adenocarcinoma,https://www.nature.com/articles/s41588-020-0665-7,2020,True,False,True,False,False,False
Prostate cancer reactivates developmental epigenomic programs during metastatic progression,https://www.nature.com/articles/s41588-020-0664-8,2020,True,True,True,False,False,False
Analysis of Ugandan cervical carcinomas identifies human papillomavirus clade–specific epigenome and transcriptome landscapes,https://www.nature.com/articles/s41588-020-0673-7,2020,True,True,True,False,True,False
GWAS of multiple neuropathology endophenotypes identifies new risk loci and provides insights into the genetic risk of dementia,https://www.nature.com/articles/s41588-024-01939-9,2024,True,True,True,False,True,False
Human DNA polymerase ε is a source of C>T mutations at CpG dinucleotides,https://www.nature.com/articles/s41588-024-01945-x,2024,True,True,False,False,False,False
A genome-wide association analysis reveals new pathogenic pathways in gout,https://www.nature.com/articles/s41588-024-01921-5,2024,True,False,True,False,True,False
Systematic prioritization of functional variants and effector genes underlying colorectal cancer risk,https://www.nature.com/articles/s41588-024-01900-w,2024,True,True,True,False,True,False
A phenome-wide association study of methylated GC-rich repeats identifies a GCC repeat expansion in ,https://www.nature.com/articles/s41588-024-01917-1,2024,True,False,True,False,True,False
Epigenetic therapy potentiates transposable element transcription to create tumor-enriched antigens in glioblastoma cells,https://www.nature.com/articles/s41588-024-01880-x,2024,True,True,True,False,False,False
"Integrated analyses highlight interactions between the three-dimensional genome and DNA, RNA and epigenomic alterations in metastatic prostate cancer",https://www.nature.com/articles/s41588-024-01826-3,2024,True,True,True,False,False,False
