title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Transcriptome reveal gene regulation mechanisms of the barnacle ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11357-8,2025,False,False,False
Integrating QTL mapping with transcriptome analysis mined candidate genes of growth stages in castor (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11348-9,2025,False,False,False
Physiological and transcriptomic analyses revealed the alleviating effects of exogenous Ca,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11355-w,2025,False,False,False
The intensity of the transcriptional response varies across infection with distinct viral strains in an insect host,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11365-8,2025,True,False,False
M6A methyltransferase METTL3 promotes glucose metabolism hub gene expression and induces metabolic dysfunction-associated steatotic liver disease (MASLD),https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11377-4,2025,True,False,False
Autophagy is involved in the toxicity of the biocontrol agent GC16 against ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11312-7,2025,False,False,False
Epidermal growth factor dampens pro-inflammatory gene expression induced by interferon-gamma in global transcriptome analysis of keratinocytes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11237-1,2025,True,True,False
Genome-wide analysis of the ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11293-7,2025,False,False,False
Gene-based Hardy–Weinberg equilibrium test using genotype count data: application to six types of cancers,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11321-6,2025,False,True,False
Full-length transcriptome assembly and RNA-Seq integration of diploid and tetraploid ryegrass to investigate differences in cd uptake and accumulation among ryegrass with different ploidy levels,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11325-2,2025,False,False,False
Gonadal transcriptome analysis reveals ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11249-x,2025,False,False,False
Integrated analysis of chromatin and transcriptomic profiling of the striatum after cerebral hypoperfusion in mice,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11256-y,2025,False,False,False
The multi-omics signatures of telomere length in childhood,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11209-5,2025,True,True,False
Transcriptome analysis of muscle atrophy in Leizhou black goats: identification of key genes and insights into limb-girdle muscular dystrophy,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11282-w,2025,False,False,False
"Regulatory networks of mRNAs and miRNAs involved in the immune response of diamondback moth, ",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11192-3,2025,False,False,False
"Functions of thyroid hormone signaling in regulating melanophore, iridophore, erythrophore, and pigment pattern formation in spotted scat (",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11286-6,2025,False,False,False
Prediction of transcript isoforms and identification of tissue-specific genes in cucumber,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11212-w,2025,False,False,False
Mitochondrial genome structural variants and candidate cytoplasmic male sterility-related gene in sugarcane,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11210-y,2025,False,False,False
Genome-wide analysis and identification of nuclear factor Y gene family in switchgrass (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11092-6,2024,False,False,False
A population genomics approach to unlock the genetic potential of lablab (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11104-5,2024,False,False,False
HDI-STARR-seq: Condition-specific enhancer discovery in mouse liver in vivo,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11162-9,2024,False,False,False
Low-pass nanopore sequencing for measurement of global methylation levels in plants,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11145-w,2024,False,False,False
Transcriptomic profiling reveals distinct responses to beet curly top virus (BCTV) infection in resistant and susceptible sugar beet genotypes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11143-y,2024,False,False,False
Yield increment and transcriptome response caused by blue light treatment in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11108-1,2024,False,False,False
Polygenic response to selection by transgenic Bt-expressing crops in wild ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11160-x,2024,False,True,False
"Immunomodulatory dynamics in the porcine myometrium: global transcriptome analysis, including the effects of PPARγ ligands",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11083-7,2024,True,False,False
Genome-wide association and transcriptomic analysis and the identification of growth-related genes in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11105-4,2024,True,False,False
Identification of crucial LncRNAs associated with testicular development and LOC108635509 as a potential regulator in black goat spermatogenesis,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11094-4,2024,False,False,False
Profiling of blood miRNAomes revealed the potential regulatory role of miRNAs in various lameness phenotypes in feedlot cattle,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10807-z,2024,False,False,False
Genome-wide association studies and functional annotation of pre-weaning calf mortality and reproductive traits in Nellore cattle from experimental selection lines,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11113-4,2024,True,False,False
Computational deconvolution of cell type-specific gene expression in COPD and IPF lungs reveals disease severity associations,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11031-5,2024,True,False,False
Combined metabolomic and transcriptomic analysis reveals the key genes for triterpenoid biosynthesis in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11125-0,2024,False,False,False
Unraveling the DNA methylation landscape in dog blood across breeds,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10963-2,2024,True,False,False
Comparative transcriptomic and hormonal analyses reveal potential regulation networks of adventitious root formation in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10989-6,2024,False,True,False
Pituitary whole transcriptome analysis reveals key genes regulating reproduction in Hy-Line Brown hens and the construction of their ceRNA molecular regulatory network,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-11035-1,2024,False,False,False
Effects of cold stress on the blood-brain barrier in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10943-6,2024,False,False,False
Transcriptome analysis of mammary epithelial cell between Sewa sheep and East FriEsian sheep from different localities,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10946-3,2024,False,False,False
A comprehensive analysis of the defense responses of ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10955-2,2024,False,False,False
