title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Single-cell transcriptomics reveal the prognostic roles of epithelial and T cells and DNA methylation-based prognostic models in pancreatic cancer,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01800-0,2024,False,True,False
Altered chromatin landscape and 3D interactions associated with primary constitutional ,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01770-3,2024,False,False,False
A meta-analysis of epigenome-wide association studies of ultra-processed food consumption with DNA methylation in European children,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01782-z,2025,False,False,False
Effects of multisuperovulation on the transcription and genomic methylation of oocytes and offspring,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01746-3,2024,False,False,False
Hypoxia impairs decitabine-induced expression of HLA-DR in acute myeloid leukaemia cell lines,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-025-01812-4,2025,False,False,False
Differences in the DNA methylome of T cells in adults with asthma of varying severity,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01750-7,2024,False,False,False
Distinct methylome profile of cfDNA in AMI patients reveals significant alteration in cAMP signaling pathway genes regulating cardiac muscle contraction,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01755-2,2024,False,False,False
A comprehensive lifestyle index and its associations with DNA methylation and type 2 diabetes among Ghanaian adults: the rodam study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01758-z,2024,False,False,False
DNA methylation at ,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01757-0,2024,False,False,False
The role of DNA methylation in chondrogenesis of human iPSCs as a stable marker of cartilage quality,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01759-y,2024,False,True,False
"Respiratory infection- and asthma-prone, low vaccine responder children demonstrate distinct mononuclear cell DNA methylation pathways",https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01703-0,2024,False,False,False
Effects of improved on-farm crop storage on DNA methylation of  mothers and their infants: evidence from a randomized controlled trial in Kenya,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01693-z,2024,False,False,False
DNA methylation profile of inflammatory breast cancer and its impact on prognosis and outcome,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01695-x,2024,False,False,False
Quantification method of ctDNA using cell-free DNA methylation profile for noninvasive screening and monitoring of colon cancer,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01708-9,2024,False,False,False
Unraveling epigenomic signatures and effectiveness of electroconvulsive therapy in treatment-resistant depression patients: a prospective longitudinal study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01704-z,2024,False,False,False
DNA methylation and whole-genome transcription analysis in CD4,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01699-7,2024,False,False,False
Improvements in lung function following vitamin C supplementation to pregnant smokers are associated with buccal DNA methylation at 5 years of age,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01644-8,2024,True,True,False
Cell-free DNA methylation reveals cell-specific tissue injury and correlates with disease severity and patient outcomes in COVID-19,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01645-7,2024,False,False,False
DNA methylation may partly explain psychotropic drug-induced metabolic side effects: results from a prospective 1-month observational study,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01648-4,2024,False,True,False
"MAL expression downregulation through suppressive H3K27me3 marks at the promoter in HPV16-related cervical cancers is prognostically relevant and manifested by the interplay of novel MAL antisense long noncoding RNA AC103563.8, E7 oncoprotein and EZH2",https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01651-9,2024,False,False,False
Identification of miR-20b-5p as an inhibitory regulator in cardiac differentiation via TET2 and DNA hydroxymethylation,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01653-7,2024,False,True,False
"An EWAS of dementia biomarkers and their associations with age, African ancestry, and PTSD",https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01649-3,2024,False,False,False
Histone deacetylase 3 deletion in alveolar type 2 epithelial cells prevents bleomycin-induced pulmonary fibrosis,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-023-01588-5,2023,True,False,False
