title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Promoter capture Hi-C identifies promoter-related loops and fountain structures in Arabidopsis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03465-7,2024,False,True,False
Molecular dependencies and genomic consequences of a global DNA damage tolerance defect,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03451-z,2024,False,False,True
Dynamic co-evolution of transposable elements and the piRNA pathway in African cichlid fishes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-025-03475-z,2025,False,False,False
Multi-omics reveals lactylation-driven regulatory mechanisms promoting tumor progression in oral squamous cell carcinoma,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03383-8,2024,False,False,False
scDOT: optimal transport for mapping senescent cells in spatial transcriptomics,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03426-0,2024,False,False,False
GraphPCA: a fast and interpretable dimension reduction algorithm for spatial transcriptomics data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03429-x,2024,False,False,False
VI-VS: calibrated identification of feature dependencies in single-cell multiomics,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03419-z,2024,True,False,False
Overlooked poor-quality patient samples in sequencing data impair reproducibility of published clinically relevant datasets,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03331-6,2024,False,True,False
Comprehensive network modeling approaches unravel dynamic enhancer-promoter interactions across neural differentiation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03365-w,2024,False,False,False
Melon: metagenomic long-read-based taxonomic identification and quantification using marker genes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03363-y,2024,False,False,False
Gut microbiota contributes to high-altitude hypoxia acclimatization of human populations,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03373-w,2024,False,False,False
Functional screening reveals genetic dependencies and diverging cell cycle control in atypical teratoid rhabdoid tumors,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03438-w,2024,False,False,False
Detecting haplotype-specific transcript variation in long reads with FLAIR2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03301-y,2024,False,False,False
Systemic interindividual DNA methylation variants in cattle share major hallmarks with those in humans,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03307-6,2024,False,False,False
Diurnal control of iron responsive element containing mRNAs through iron regulatory proteins IRP1 and IRP2 is mediated by feeding rhythms,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03270-2,2024,False,False,False
Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03254-2,2024,True,True,False
"Breaking down causes, consequences, and mediating effects of telomere length variation on human health",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03269-9,2024,False,True,True
Comparative 3D genome analysis between neural retina and retinal pigment epithelium reveals differential ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03250-6,2024,False,False,False
ePRINT: exonuclease assisted mapping of protein-RNA interactions,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03271-1,2024,False,False,False
DNA methylation patterns of transcription factor binding regions characterize their functional and evolutionary contexts,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03218-6,2024,False,True,False
Structural variant landscapes reveal convergent signatures of evolution in sheep and goats,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03288-6,2024,False,False,False
Sequential drug treatment targeting cell cycle and cell fate regulatory programs blocks non-genetic cancer evolution in acute lymphoblastic leukemia,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03260-4,2024,False,True,False
X-chromosome inactivation in human iPSCs provides insight into X-regulated gene expression in autosomes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03286-8,2024,False,False,False
miR-430 regulates zygotic mRNA during zebrafish embryogenesis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03197-8,2024,False,True,False
Cataloging the phylogenetic diversity of human bladder bacterial isolates,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03216-8,2024,False,False,False
Depletion of lamins B1 and B2 promotes chromatin mobility and induces differential gene expression by a mesoscale-motion-dependent mechanism,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03212-y,2024,False,False,False
Eukaryotic-driven directed evolution of Cas9 nucleases,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03215-9,2024,True,False,False
txci-ATAC-seq: a massive-scale single-cell technique to profile chromatin accessibility,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03150-1,2024,True,False,False
Trans-ancestral genome-wide association study of longitudinal pubertal height growth and shared heritability with adult health outcomes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03136-z,2024,False,True,False
DeepVelo: deep learning extends RNA velocity to multi-lineage systems with cell-specific kinetics,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03148-9,2024,False,False,False
Structural variation and DNA methylation shape the centromere-proximal meiotic crossover landscape in Arabidopsis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03163-4,2024,False,True,False
Mosaic loss of Y chromosome is associated with aging and epithelial injury in chronic kidney disease,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03173-2,2024,False,True,False
Computational validation of clonal and subclonal copy number alterations from bulk tumor sequencing using CNAqc,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03170-5,2024,False,True,False
Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03176-z,2024,False,True,False
The androgen receptor interacts with GATA3 to transcriptionally regulate a luminal epithelial cell phenotype in breast cancer,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03161-y,2024,False,False,False
ENGEP: advancing spatial transcriptomics with accurate unmeasured gene expression prediction,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03139-w,2023,False,False,False
A super-pangenome of the North American wild grape species,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03133-2,2023,False,True,False
Genetic effects of sequence-conserved enhancer-like elements on human complex traits,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03142-1,2024,False,False,False
BORIS/CTCFL epigenetically reprograms clustered CTCF binding sites into alternative transcriptional start sites,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03175-0,2024,False,False,False
Acute expression of human APOBEC3B in mice results in RNA editing and lethality,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03115-4,2023,False,False,False
Single-cell multiomics of the human retina reveals hierarchical transcription factor collaboration in mediating cell type-specific effects of genetic variants on gene regulation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03111-8,2023,False,True,False
Methylation-directed regulatory networks determine enhancing and silencing of mutation disease driver genes and explain inter-patient expression variation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03094-6,2023,False,False,False
Metagenome-wide analysis uncovers gut microbial signatures and implicates taxon-specific functions in end-stage renal disease,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03056-y,2023,False,False,False
MalariaSED: a deep learning framework to decipher the regulatory contributions of noncoding variants in malaria parasites,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03063-z,2023,False,False,False
DIVE: a reference-free statistical approach to diversity-generating and mobile genetic element discovery,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03038-0,2023,True,False,False
Performance of computational algorithms to deconvolve heterogeneous bulk ovarian tumor tissue depends on experimental factors,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03077-7,2023,False,False,False
SEESAW: detecting isoform-level allelic imbalance accounting for inferential uncertainty,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03003-x,2023,True,False,False
"Stable maternal proteins underlie distinct transcriptome, translatome, and proteome reprogramming during mouse oocyte-to-embryo transition",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02997-8,2023,False,False,False
ISLET: individual-specific reference panel recovery improves cell-type-specific inference,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03014-8,2023,True,False,False
Phenome-wide analyses identify an association between the parent-of-origin effects dependent methylome and the rate of aging in humans,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02953-6,2023,False,True,False
Genomic hallmarks and therapeutic implications of G0 cell cycle arrest in cancer,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02963-4,2023,False,False,False
Profiling the immune epigenome across global cattle breeds,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02964-3,2023,False,False,False
Inferring cell-type-specific causal gene regulatory networks during human neurogenesis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02959-0,2023,False,False,False
Epiphany: predicting Hi-C contact maps from 1D epigenomic signals,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02934-9,2023,False,False,False
Engineered circular guide RNAs boost CRISPR/Cas12a- and CRISPR/Cas13d-based DNA and RNA editing,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02992-z,2023,False,False,False
Transcriptome- and proteome-wide association studies nominate determinants of kidney function and damage,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02993-y,2023,False,True,False
VarID2 quantifies gene expression noise dynamics and unveils functional heterogeneity of ageing hematopoietic stem cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02974-1,2023,False,True,False
Reading and writing of mRNA m,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02918-9,2023,False,False,False
Panhematopoietic RNA barcoding enables kinetic measurements of nucleate and anucleate lineages and the activation of myeloid clones following acute platelet depletion,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02976-z,2023,False,True,False
"DIMPLE: deep insertion, deletion, and missense mutation libraries for exploring protein variation in evolution, disease, and biology",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02880-6,2023,False,False,False
The Network Zoo: a multilingual package for the inference and analysis of gene regulatory networks,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02877-1,2023,True,False,False
An atlas of lamina-associated chromatin across twelve human cell types reveals an intermediate chromatin subtype,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02849-5,2023,False,False,False
β-actin mediated H3K27ac changes demonstrate the link between compartment switching and enhancer-dependent transcriptional regulation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02853-9,2023,False,False,False
"Loss of MLL3/4 decouples enhancer H3K4 monomethylation, H3K27 acetylation, and gene activation during embryonic stem cell differentiation",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02883-3,2023,True,False,False
The collateral activity of RfxCas13d can induce lethality in a RfxCas13d knock-in mouse model,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02860-w,2023,False,False,False
DNA methylation entropy as a measure of stem cell replication and aging,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02866-4,2023,False,True,False
H3.3 contributes to chromatin accessibility and transcription factor binding at promoter-proximal regulatory elements in embryonic stem cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02867-3,2023,False,False,False
Not1 and Not4 inversely determine mRNA solubility that sets the dynamics of co-translational events,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02871-7,2023,False,False,False
siVAE: interpretable deep generative models for single-cell transcriptomes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02850-y,2023,True,False,False
Parallel evolution of amphioxus and vertebrate small-scale gene duplications,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02808-6,2022,False,True,False
FixItFelix: improving genomic analysis by fixing reference errors,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02863-7,2023,False,False,False
Cross-regulome profiling of RNA polymerases highlights the regulatory role of polymerase III on mRNA transcription by maintaining local chromatin architecture,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02812-w,2022,False,False,False
New roles for AP-1/JUNB in cell cycle control and tumorigenic cell invasion via regulation of cyclin E1 and TGF-β2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02800-0,2022,False,False,False
METTL4-mediated nuclear N6-deoxyadenosine methylation promotes metastasis through activating multiple metastasis-inducing targets,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02819-3,2022,False,False,False
Pan-cancer surveys indicate cell cycle-related roles of primate-specific genes in tumors and embryonic cerebrum,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02821-9,2022,False,False,False
"Abnormal molecular signatures of inflammation, energy metabolism, and vesicle biology in human Huntington disease peripheral tissues",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02752-5,2022,True,True,False
Genomic insights into the evolutionary history and diversification of bulb traits in garlic,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02756-1,2022,False,True,False
Genetic regulation of RNA splicing in human pancreatic islets,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02757-0,2022,False,True,False
Widespread false gene gains caused by duplication errors in genome assemblies,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02764-1,2022,False,False,False
H3K18 lactylation marks tissue-specific active enhancers,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02775-y,2022,True,False,False
Widespread redundancy in -omics profiles of cancer mutation states,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02705-y,2022,True,True,False
Global early replication disrupts gene expression and chromatin conformation in a single cell cycle,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02788-7,2022,False,True,False
Local CpG density affects the trajectory and variance of age-associated DNA methylation changes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02787-8,2022,True,True,False
Local euchromatin enrichment in lamina-associated domains anticipates their repositioning in the adipogenic lineage,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02662-6,2022,False,False,False
